key, en, de
l10n.fulfillment.email.subject, "About your delivery: {{id}}", "Ihre Bestellung wird zugestellt: {{id}}"
l10n.fulfillment.email.salutation, "Hello {{contactName}}", "Hallo {{contactName}}"
SUBMITTED, "Your order will be sent to you soon!", "Ihre Bestellung ist sehr bald unterwegs!"
IN_TRANSIT, "Your order is under way!", "Ihre Bestellung ist unterwegs!"
COMPLETE, "Your order has arrived!", "Ihre Bestellung ist angekommen!"
l10n.fulfillment.email.shipping_number, "Your shipping number is:", "Deine Sendungsnummer lautet:"
l10n.fulfillment.email.shipping_numbers, "Your shipping numbers are:", "Deine Sendungsnummern lauten:"
l10n.fulfillment.email.reference, "If you have any questions, please provide the following order number:", "Bei Fragen geben Sie bitte folgende Bestellnummer an."
l10n.fulfillment.email.references, "If you have any questions, please provide the following order numbers:", "Bei Fragen geben Sie bitte folgenden Bestellnummern an."
l10n.invoice.email.signature, "Yours sincerely,\nThe n-fuse Team!", "Mit freundlichen Grüßen,\nDein n-fuse Team!"
l10n.invoice.email.help, "Need Help?", "Bei Fragen, bitte an:"
